GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
heapsort,edu.ifrs.vvs,App,14,0,0,0,5,0,1,0,1,0
heapsort,edu.ifrs.vvs,HeapSort,74,95,4,12,12,25,5,8,3,2
